Filepath,Label,Prediction
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0285.png,bush 3m friction with cross axle,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0292.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0293.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0296.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0300.png,bush 3m friction with cross axle,plate 1x1
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0305.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0309.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0310.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0313.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0314.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0317.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0318.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0326.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0327.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0335.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0337.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0339.png,bush 3m friction with cross axle,plate 1x2 with 1 knob
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0340.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0343.png,bush 3m friction with cross axle,plate 1x2
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0348.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0354.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0357.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0358.png,bush 3m friction with cross axle,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0362.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0364.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0370.png,bush 3m friction with cross axle,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0373.png,bush 3m friction with cross axle,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0375.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0380.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0388.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0390.png,bush 3m friction with cross axle,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0392.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0396.png,bush 3m friction with cross axle,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\11214 Bush 3M friction with Cross axle\201706171006-0400.png,bush 3m friction with cross axle,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0007.png,cross axle 2m with snap friction,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0009.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0010.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0023.png,cross axle 2m with snap friction,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0024.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0028.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0034.png,cross axle 2m with snap friction,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0035.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0037.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0054.png,cross axle 2m with snap friction,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0056.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0061.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0085.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0088.png,cross axle 2m with snap friction,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0101.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0103.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0105.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0110.png,cross axle 2m with snap friction,peg 2m
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0118.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0127.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0136.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0146.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0158.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0160.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0161.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0171.png,cross axle 2m with snap friction,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0179.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0181.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0185.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0187.png,cross axle 2m with snap friction,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0188.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0197.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0201.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0205.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0207.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0209.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0218.png,cross axle 2m with snap friction,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0222.png,cross axle 2m with snap friction,peg 2m
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0232.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0235.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0236.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0259.png,cross axle 2m with snap friction,peg 2m
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0270.png,cross axle 2m with snap friction,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0274.png,cross axle 2m with snap friction,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0281.png,cross axle 2m with snap friction,peg 2m
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0282.png,cross axle 2m with snap friction,peg 2m
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0285.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0292.png,cross axle 2m with snap friction,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0293.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0296.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0300.png,cross axle 2m with snap friction,peg 2m
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0305.png,cross axle 2m with snap friction,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0309.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0310.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0313.png,cross axle 2m with snap friction,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0314.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0317.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0318.png,cross axle 2m with snap friction,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0326.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0327.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0335.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0337.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0339.png,cross axle 2m with snap friction,peg 2m
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0340.png,cross axle 2m with snap friction,peg 2m
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0343.png,cross axle 2m with snap friction,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0348.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0354.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0357.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0358.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0362.png,cross axle 2m with snap friction,peg 2m
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0364.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0370.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0373.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0375.png,cross axle 2m with snap friction,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0380.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0388.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0390.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0392.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0396.png,cross axle 2m with snap friction,bush 3m friction with cross axle
..\ML\Lego\processed_data\test\18651 Cross Axle 2M with Snap friction\201706171106-0400.png,cross axle 2m with snap friction,cross axle 2m with snap friction
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0007.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0009.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0010.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0023.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0024.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0028.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0034.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0035.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0037.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0054.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0056.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0061.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0085.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0088.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0093.png,brick corner 1x2x2,plate 2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0101.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0103.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0105.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0110.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0118.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0127.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0136.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0146.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0158.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0160.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0161.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0171.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0179.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0181.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0185.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0187.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0188.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0197.png,brick corner 1x2x2,brick 1x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0201.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0205.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0207.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0209.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0218.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0222.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0232.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0235.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0236.png,brick corner 1x2x2,brick 1x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0259.png,brick corner 1x2x2,brick corner 1x2x2
..\ML\Lego\processed_data\test\2357 Brick corner 1x2x2\201706171206-0270.png,brick corner 1x2x2,brick corner 1x2x2
